plan,scenario,direction,condition,quality,entry,stop,target,first_target,risk_points,target_R,first_target_R,stop_correct_side,target_correct_side,off_tick_trade_price,target_in_chain_half_tick,confirm_rule,confirm_side,confirm2_rule,confirm2_side,arm_legs,trigger,invalidation
2026-09-03:ASIA:v5,S1,short,sweep_reclaim,A,,,,29528.63,,,,,,,,touch,above,1x5m_close,below,0,Price sweeps above ONH 29543.00 and then prints a 5m close back below 29543.00 (wick alone does not qualify).,5m close above 29548.00 before the reclaim close; 5m close above 29585.00 kills the whole short plan.
2026-09-03:ASIA:v5,S2,long,breakout_retest,B,,,,29585,,,,,,,,1x5m_close,above,touch,above,0,"5m close above 29548.00, then a pullback touches 29548.00 from above and holds; enter long at the retest.",5m close back below 29541.12 after the breakout close.
2026-09-03:ASIA:v5,S3,short,reject,B,29585,29603,29548,29548,18,2.0555555555555554,2.0555555555555554,True,True,False,True,touch,below,,,0,Rally stalls at 29585.00 (fresh SWG-H/prior session high) and rejects from first touch.,5m close above 29585.00 (acceptance above the swing high).
2026-09-03:ASIA:v6,S1,long,breakout_retest,A,,,,29622.17,,,,,,,,1x5m_close,above,,,0,"Retest of 29622.25 current price that holds is the trade, confirmed by a 5m close back above 29622.25.",5m close below 29585.00 RTH-H after the touch cancels the retest.
2026-09-03:ASIA:v6,S2,long,sweep_reclaim,B,,,,29509.09,,,,,,,,touch,below,1x5m_close,above,0,"Sweep of 29481.50 ONL; the long requires a 5m close back above 29481.50, never the wick alone.",A second 5m close below 29481.50 with no 5m close above cancels the setup.
2026-09-03:ASIA:v6,S3,long,reject,B,29585,29568,29622.17,29622.17,17,2.1864705882351916,2.1864705882351916,True,True,True,True,touch,above,,,0,"First touch of 29585.00 RTH-H; enter long only on a stall/rejection there, with resting limit 29585.00.",5m close below 29585.00 after entry invalidates the reject.
2026-09-03:ASIA:v6,S4,short,sweep_reclaim,C,,,,29601,,,,,,,,touch,above,1x5m_close,below,0,"Sweep above 29643.50 ONH; short only after a 5m close back below 29643.50 (sweep-reclaim, not a blind fade).",5m close back above 29643.50 after the sweep cancels the short; stand aside.
2026-09-03:ASIA:v7,S1,long,breakout_retest,A,,,,29652.12,,,,,,,,touch,above,1x5m_close,above,0,"5m close above 29643.50 ONH, then a retest of 29643.50 holds; enter long on touch",5m close below 29619.50 voids the breakout; stop below retest low
2026-09-03:ASIA:v7,S2,long,reclaim,B,,,,29619.5,,,,,,,,1x5m_close,above,,,0,Dip below 29597.25 PDC and a 5m close back above 29597.25 reclaims the pivot; enter long on that close,5m close below 29591.50 voids the reclaim
2026-09-03:ASIA:v7,S3,short,sweep_reclaim,B,,,,29619.5,,,,,,,,touch,above,1x5m_close,below,0,Sweep above 29643.50 ONH and a 5m close back below 29643.50; short only on that close,5m close above 29643.50 or continued closes above 29652.12 voids; stop above sweep high
2026-09-04:LONDON:v1,S1,long,reclaim,A,,,,29619.5,,,,,,,,1x5m_close,above,,,0,A dip below 29597.25 PDC followed by a 5m close back above 29597.25 while 29591.50 SWG-L·5m holds; targets 29619.50 then 29639.50/29644.25.,A 5m close below 29591.50 cancels this reclaim.
2026-09-04:LONDON:v1,S2,long,reject,B,29579.5,29558.34,29639.5,29597.25,21.159999999999854,2.8355387523629685,0.8388468809073781,True,True,True,True,touch,above,,,0,A touch of 29579.50 SWG-H·15m; fade long from the touch with a structure stop below 29558.34 VWAP; targets 29597.25 then 29619.50/29639.50.,A 5m close below 29558.34 cancels this reject.
2026-09-04:LONDON:v1,S3,short,sweep_reclaim,B,,,,29619.5,,,,,,,,touch,above,1x5m_close,below,0,A retest of 29644.25 ONH that wicks through 29644.25 and then prints a 5m close back below 29644.25; targets 29619.50 then 29601.00.,A 5m close back above 29644.25 after the reclaim close cancels.
2026-09-04:LONDON:v1,S4,long,reclaim,B,,,,29639.5,,,,,,,,1x5m_close,above,,,0,A dip below 29619.50 OB(bear)·1h followed by a 5m close back above 29619.50 while 29601.00 PDH holds; targets 29639.50 then 29644.25.,A 5m close below 29601.00 cancels this reclaim.
2026-09-04:LONDON:v2,S1,short,reject,B,29649.59,29670.69,29597.25,29597.25,21.099999999998545,2.480568720379325,2.480568720379325,True,True,True,True,touch,below,,,0,price touches 29649.59 VWAP+2σ and fails to hold above it,5m close above 29649.59
2026-09-04:LONDON:v2,S2,short,acceptance,C,,,,29517.35,,,,,,,,time_hold,below,,,0,price breaks 29561.43 VWAP and holds below it for 3 minutes,5m close back above 29561.43
2026-09-04:LONDON:v3,S1,short,sweep_reclaim,B,,,,29585,,,,,,,,touch,above,1x5m_close,below,0,Rally touches 29720 (ONH) and sweeps above it; then a 5m candle closes back below 29720,5m close above 29720 cancels the short
2026-09-04:LONDON:v3,S2,short,reject,B,,,,29278,,,,,,,,touch,above,,,0,Rally into 29503.38 (OB(bear)·4h) prints a wick above the level and rejects; touch confirms the short fade,5m close above 29503.38 cancels the short
2026-09-04:LONDON:v3,S3,long,sweep_reclaim,C,,,,29481.5,,,,,,,,touch,below,1x5m_close,above,0,"Flush touches 29278.00 (Demand·1h HTF, discount) and sweeps below it; then a 5m candle closes back above 29278.00",5m close below 29278.00 after the reclaim fails cancels the long
2026-09-04:NY:v1,S0,long,hold,B,,,,,,,,,,,,,,,,0,none,n/a
2026-09-04:NY:v2,S1,long,sweep_reclaim,A,29611.25,29481.5,29720,29720,129.75,0.838150289017341,0.838150289017341,True,True,False,True,touch,above,1m_mss,above,2,"breakout above 29611.25 OR-H, then retest of 29611.25 as support confirmed by a 1m MSS back above 29611.25",5m close below 29481.50 ONL
2026-09-04:NY:v2,S2,short,sweep_reclaim,B,29720,29770,29601,29611.25,50,2.38,2.175,True,True,False,True,touch,above,1m_mss,below,2,sweep of 29720.00 ONH that fails with a 1m close back below 29720.00,5m close back above 29720.00 ONH
2026-09-04:NY:v3,S1,short,reject,B,29657.38,29720,29503.38,29591.02,62.61999999999898,2.4592781858831443,1.0597253273714733,True,True,True,True,touch,below,,,0,Price retests 29657.38 Supply·1h and rejects; the limit sell rests at 29657.38.,5m close above 29720.00 ONH cancels the fade.
2026-09-04:NY:v3,S2,short,reclaim,C,29591.02,29645.25,29481.5,29553.75,54.22999999999956,2.0195463765443726,0.6872579752904432,True,True,True,True,1x5m_close,below,,,0,A 5m close below 29591.02 VWAP triggers a reclaim short; the sell stop is at 29591.02.,5m close back above 29645.25 cancels the VWAP reclaim.
2026-09-04:NY:v4,S1,short,reject,B,29585,29636,29481.5,29481.5,51,2.0294117647058822,2.0294117647058822,True,True,False,True,touch,below,,,0,Pullback rally to 29585.00 RTH-H after the 15m lower-high sequence; touch 29585.00 fades short.,5m close above 29601.00 PDH
2026-09-04:NY:v4,S2,short,sweep_reclaim,B,29720,29770,29585,29585,50,2.7,2.7,True,True,False,True,touch,above,1m_mss,below,2,Rally sweeps 29720.00 ONH and then prints a 1m MSS back below 29720.00.,5m close above 29770.00 cancels the sweep-reclaim short
2026-09-04:NY:v4,S3,long,reject,B,,,,29199.25,,,,,,,,touch,above,,,0,First touch of 29144.50 Demand·1h (HTF) after a wash lower; touch 29144.50 buys the reaction zone.,5m close below 29095.00
2026-09-04:NY:v5,S1,short,sweep_reclaim,B,29720,29765,29553.75,29601,45,3.6944444444444446,2.6444444444444444,True,True,False,True,touch,above,1x5m_close,below,2,"Price rallies to 29720.00 ONH, sweeps it with a wick, then 5m closes back below 29720.00",5m close above 29765.00 cancels the sweep-reclaim
2026-09-04:NY:v5,S2,short,breakout_retest,C,,,,29481.5,,,,,,,,touch,below,,,0,"5m breaks below 29530.63 POC, then pulls back to retest 29530.63 from below and stalls",5m close back above 29553.75 OR-L voids the retest
2026-09-04:NY:v6,S1,short,reject,B,29579.56,29614.5,29503.38,29553.75,34.93999999999869,2.1803091013166327,0.7386949055524407,True,True,True,True,touch,below,,,0,"After 13:30 CT, price rallies into 29579.56 VWAP and stalls; sell the touch, not a chase.",A 5m close above 29601.00 PDH invalidates this fade.
2026-09-04:NY:v6,S2,short,sweep_reclaim,B,29720,29755,29635,29635,35,2.4285714285714284,2.4285714285714284,True,True,False,True,touch,above,1x5m_close,below,2,Price rallies to 29720.00 ONH and sweeps it; a 5m close back below 29720.00 confirms the reclaim and the short.,A 5m close above 29755.00 invalidates the fade.
2026-09-04:NY:v6,S3,long,sweep_reclaim,C,,,,29425.12,,,,,,,,touch,below,1x5m_close,above,0,A flush to 29144.50 Demand·1h that sweeps the level and then posts a 5m close back above it.,A 5m close below 29101.75 PDL invalidates.
2026-09-06:ASIA:v1,S1,long,reject,B,29468.25,29440,29534.33,29524.75,28.25,2.3391150442478494,2.0,True,True,True,True,touch,above,,,0,Price touches 29468.25 PDL and rejects from the 29465.12-29468.25 discount shelf; long the retest.,Invalid on a 1x5m close below 29468.25 or loss of 29432.25.
2026-09-06:ASIA:v1,S2,long,reclaim,B,29526,29497,29657.38,29534.33,29,4.530344827586242,0.28724137931040505,True,True,True,True,1x5m_close,above,,,0,"After a 29502.88 OB(bear)·1h sweep and bounce, price reclaims 29524.75 PDC with a 1x5m close above; long the Asia recovery.",Invalid on a 1x5m close back below 29524.75 or a 5m close below 29502.88 before entry.
2026-09-06:ASIA:v1,S3,short,reject,B,29657.38,29687,29534.33,29539.38,29.61999999999898,4.154287643484251,3.983794733288456,True,True,True,True,touch,below,,,0,Rally touches 29657.38 Supply·1h and rejects; short the premium fade above the 29594.13 midpoint.,Invalid on a 1x5m close above 29657.38 or a 1x5m close above 29692.00.
2026-09-06:ASIA:v2,S1,long,sweep_reclaim,B,29524.75,29504,29575.48,29545,20.75,2.4448192771084125,0.9759036144578314,True,True,True,False,touch,below,1m_mss,above,2,"Sweep below 29524.75 PDC, then a 1m_mss back above 29530.25 ONL.",No 1m_mss reclaim above 29530.25 and 5m closes continue lower toward 29504.00.
2026-09-06:ASIA:v2,S2,long,reclaim,B,29575.48,29550,29657.38,29587.75,25.479999999999563,3.2142857142858263,0.4815541601256141,True,True,True,True,1x5m_close,above,,,0,"Dip below 29575.48 VWAP, then print a 1x5m close back above 29575.48.",5m close back below 29550.00 before the arm fills.
2026-09-06:ASIA:v2,S3,short,reject,C,29594.4,29612,29545,29575.48,17.599999999998545,2.8068181818184965,1.0750000000001965,True,True,True,True,touch,below,,,0,Touch 29594.40 VWAP+2σ and reject with no 1x5m close above 29594.40.,1x5m close above 29607.50.
2026-09-06:ASIA:v3,S1,long,sweep_reclaim,A,29530.25,29504.25,29607.5,29587.75,26.0,2.9711538461538463,2.2115384615384617,True,True,False,True,touch,below,1m_mss,above,2,"Sweep below 29530.25 ONL, then 1m MSS back above 29530.25",Two 5m closes below 29524.75 PDC void the setup
2026-09-06:ASIA:v3,S2,long,reject,C,29541.25,29516.25,29607.5,29587.75,25.0,2.65,1.86,True,True,False,True,touch,above,,,0,Touch of 29541.25 SWG-L·5m into 29541.12 Demand·1h confluence rejects; long limit at 29541.25,Two 5m closes below 29524.75 PDC void the long
2026-09-06:ASIA:v4,S1,long,reject,B,29575.25,29552.5,29623,29611,22.75,2.098901098901099,1.5714285714285714,True,True,False,True,touch,above,,,0,Price pulls back and touches 29575.25 SWG-L·5m while the 15m HL 29572.25 and 1h HL 29532.50 hold; fade the first touch.,A 5m candle closes below 29572.25 or 29575.25 fails to hold; cancel the setup.
2026-09-06:ASIA:v4,S2,long,reclaim,B,29620,29596.75,29692,29623,23.25,3.096774193548387,0.12903225806451613,True,True,False,True,1x5m_close,above,,,0,A 5m candle closes above 29619.25 EQH·1h (HTF) after a reclaim through 29611.00 OB(bull)·1h; buy stop 29620.00 for continuation.,A 5m close back below 29611.00 OB(bull)·1h or failure to hold above 29619.25 cancels the breakout.
2026-09-06:ASIA:v5,S1,long,reject,B,29576,29554,29623,29593.84,22,2.1363636363636362,0.8109090909090976,True,True,False,True,touch,above,,,0,Early retest of 29576.00 SWG-L·5m after the failed ONH push; buyers defend the 5m higher low.,A 5m close below 29576.00 voids the long.
2026-09-06:ASIA:v5,S2,long,reject,B,29557.57,29535.25,29623,29593.84,22.31999999999971,2.931451612903277,1.6250000000000409,True,True,True,True,touch,above,,,0,Retest of 29557.57 VWAP−1σ with 1h Demand 29541.12 just below as confluence.,A 5m close below 29557.57 voids the setup.
2026-09-06:ASIA:v5,S3,short,sweep_reclaim,C,,,,29593.84,,,,,,,,touch,above,1x5m_close,below,0,A second sweep of ONH 29623.00 that fails: a 1m/5m close back below 29623.00 confirms the reclaim.,A 5m close above 29623.00 after the sweep voids the short.
2026-09-06:ASIA:v6,S1,short,sweep_reclaim,B,,,,29611,,,,,,,,touch,above,1m_mss,below,0,"Price sweeps above 29623.00 ONH, then prints a 5m close back below 29623.00.",A 5m close above 29623.00 after the sweep invalidates the short.
2026-09-06:ASIA:v6,S2,short,reject,B,29692,29712,29623,29623,20,3.45,3.45,True,True,False,True,touch,above,,,0,Price touches 29692.00 RTH-H and rejects without a 5m close above 29692.00.,A 5m close above 29720.00 PDH invalidates the fade.
2026-09-06:ASIA:v6,S3,long,reject,B,29569.5,29550,29623,29596.75,19.5,2.7435897435897436,1.3974358974358974,True,True,False,True,touch,below,,,0,Price pulls back to 29569.50 SWG-L·5m and rejects upward without a 5m close below 29569.50.,A 5m close below 29541.12 Demand·1h invalidates the long.
2026-09-06:ASIA:v6,S4,long,sweep_reclaim,C,,,,29569.5,,,,,,,,touch,below,1m_mss,above,0,"Price sweeps below 29530.25 ONL, then prints a 5m close back above 29530.25.",A 5m close below 29524.75 PDC invalidates the long.
2026-09-07:ASIA:v1,S1,short,sweep_reclaim,A,,,,29674.82,,,,,,,,touch,above,1x5m_close,below,0,"Fresh push through 29687.50 ONH that sweeps the high, then a 5m close back below 29687.50",A 5m close above 29707.50 invalidates the short; no 5m close below 29687.50 after the sweep leaves it a breakout.
2026-09-07:ASIA:v1,S2,short,reject,B,29707.5,29737.5,29636.64,29687.5,30.0,2.362000000000019,0.6666666666666666,True,True,True,True,touch,below,,,0,"Rally into 29707.50 EQH·1h, stall, and fall back below 29707.50; limit short rests there.",A 5m close above 29750.62 invalidates this short.
2026-09-07:ASIA:v1,S3,short,hold,B,,,,29636.64,,,,,,,,time_hold,below,,,0,Break below 29664.50 and hold with 1m closes below 29664.50,A 5m close back above 29664.50 invalidates the hold.
2026-09-07:ASIA:v2,S1,long,reject,B,29671.42,29647,29721.25,29708.25,24.419999999998254,2.040540540540758,1.5081900081901876,True,True,True,True,touch,above,,,0,Pullback to VWAP+1σ 29671.42 magnet — touch and hold = long back toward ONH,5m close below 29664.50 (SWG-H·15m) kills the setup
2026-09-07:ASIA:v2,S2,long,reject,B,29664.5,29640,29721.25,29671.42,24.5,2.316326530612245,0.28244897959176546,True,True,False,True,touch,above,,,0,Deeper pullback to reclaimed SWG-H·15m 29664.50 — first-touch reject = long,5m close below 29646.00 (OR-H) kills the setup
2026-09-07:ASIA:v2,S3,short,reject,C,29721.25,29746.5,29664.5,29708.25,25.25,2.2475247524752477,0.5148514851485149,True,True,False,True,touch,below,,,0,First touch of ONH 29721.25 — rejection = short back toward the range,5m close above 29724.57 (VWAP+2σ) voids the short
2026-09-07:ASIA:v2,S4,short,sweep_reclaim,B,29721.25,29746.5,29664.5,29708.25,25.25,2.2475247524752477,0.5148514851485149,True,True,False,True,touch,below,1x5m_close,below,2,Sweep of ONH 29721.25 toward 29722.62–29724.57 that fails and closes back below 29721.25 on 5m,5m close above 29724.57 (VWAP+2σ) voids the short
2026-09-07:ASIA:v3,S1,short,reject,A,29675.22,29700,29621.97,29662.5,24.779999999998836,2.148910411622377,0.5133171912833641,True,True,True,True,touch,below,,,0,Touch of 29675.22 VWAP+1σ after the 29721.25 ONH failure; upper-value fade with 29670.00 OB(bear)·1h as confluence.,5m close above 29675.22 cancels the fade; stop beyond 29700.00.
2026-09-07:ASIA:v3,S2,long,reject,B,29568.73,29544.75,29621.97,29583.34,23.979999999999563,2.220183486238639,0.6092577147623373,True,True,True,True,touch,above,,,0,Touch of 29568.73 VWAP−1σ in discount below the 50% mark 29607.40; lower-value reversion long.,5m close below 29568.73 cancels the long fade; stop beyond 29544.75.
2026-09-07:ASIA:v3,S3,short,sweep_reclaim,B,29721.25,29745.25,29646,29675.22,24.0,3.1354166666666665,1.917916666666618,True,True,False,True,touch,above,1x5m_close,below,2,Sweep of 29721.25 ONH followed by a 5m close back below 29721.25.,No 5m close back below 29721.25 after the sweep; holding above kills the fade.
